uda,hm3,cost
UDA18,0.876475789806638,2679775.38561993
UDA18,0.958222803145602,2758542.45260841
UDA18,1.06643979194697,2816509.2663785
UDA18,1.18018688594645,2873109.61063267
UDA18,1.27186844853513,2928459.57228244
UDA18,1.36695057984443,2983809.5339322
UDA18,1.46543327987433,3039159.49558197
UDA18,1.52864183339481,3092949.38902369
UDA18,1.61231126156032,3139775.7536691
UDA18,1.73888274498709,3180763.10988565
UDA18,1.86740751851756,3221546.68403367
UDA18,1.97427500041304,3260461.96476281
UDA18,2.08217465997693,3296718.48582476
UDA18,2.19918767218272,3325979.24564597
UDA18,2.31486961688426,3353216.29117433
UDA18,2.43348128232971,3380453.34028207
UDA18,2.55499222206519,3407690.38581043
UDA18,2.67943374019118,3434927.43491818
UDA18,2.80677367496061,3462164.48044653
UDA18,2.93704504576713,3489401.52955428
UDA18,3.07023155732556,3516638.57508263
UDA18,3.20631519905756,3543875.62061098
UDA18,3.34533156329653,3571112.66971873
UDA18,3.48724420006248,3598349.71524709
UDA18,3.63209041698199,3625586.76435483
UDA18,3.77983204878189,3652823.80988319
UDA18,3.93050811838193,3680060.85899093
UDA18,4.08070304824622,3707013.85811604
UDA18,4.19,3725471.28728501
UDA20,0,0
UDA20,0.018323153652161,560778.093920072
UDA20,0.050076842154536,996105.855007907
UDA20,0.095263404235041,1431433.60992553
UDA20,0.153882060317704,1866761.36484315
UDA20,0.225928912522665,2302089.12593099
UDA20,0.311410977033673,2737416.88084861
UDA20,0.410319678515034,3172744.63576623
UDA20,0.522665151454387,3608072.39068385
UDA20,0.648435702212147,4043400.15177169
UDA20,0.787644583579845,4478727.90668931
UDA20,0.940276983614005,4914055.66160693
UDA20,1.10634927341005,5349383.41652455
UDA20,1.28584352272061,5784711.17761239
UDA20,1.47877922094499,6220038.93253001
UDA20,1.68514701317154,6655366.68744763
UDA20,1.90493442618469,7090694.44853547
UDA20,2.13816562683957,7526022.20345309
UDA20,2.38481488912912,7961349.95837071
UDA20,2.64490949821235,8396677.71328834
UDA20,2.93094059989291,8827624.32147487
UDA20,3.25201987813463,9148246.34105017
UDA20,3.54586700851313,9415199.64636115
UDA20,3.90076117412791,9647504.25543707
UDA20,4.32732019972124,9842400.68902024
UDA20,4.77527312872148,10037297.1164332
UDA20,5.17625036878487,10229692.9851971
UDA20,5.37533692143044,10413124.9179687
UDA20,5.57442347407601,10596541.2956357
UDA20,5.9257503000417,10741720.9987562
UDA20,6.36812224465648,10883036.8965756
UDA20,6.84589005671607,11023752.1180809
UDA20,7.34081165846943,11164467.3395863
UDA20,7.85286366263737,11305182.5672619
UDA20,8.38201956363685,11445897.7887672
UDA20,8.86251978947924,11582545.1745693
UDA20,9.30171963946288,11707649.5744626
UDA20,9.73786822909106,11820454.4093848
UDA20,10.1778788380858,11926954.1452437
UDA20,10.6278344977588,12029274.771795
UDA20,11.0871918436574,12130985.9603313
UDA20,11.6106435872678,12225547.7981989
UDA20,12.1154291637982,12319056.3253364
UDA20,12.6308006024561,12412564.8463036
UDA20,13.1567259406265,12506073.3734411
UDA20,13.6931700973907,12599581.8944084
UDA20,14.2402024550102,12693090.4215459
UDA20,14.7977520720716,12786598.9425132
UDA20,15.17,12847773.5274717
UDA21,0,0
UDA21,0.006550702570894,137735.914217468
UDA21,0.016502854432476,275471.83545822
UDA21,0.029858586818638,413207.749675688
UDA21,0.046614347672895,550943.663893156
UDA21,0.066775109874326,688679.578110624
UDA21,0.090334479721257,826415.499351375
UDA21,0.117300271737956,964151.413568844
UDA21,0.147663250577561,1101887.32778631
UDA21,0.181434072409529,1239623.24200378
UDA21,0.218600660241809,1377359.16324453
UDA21,0.259176511889045,1515095.077462
UDA21,0.303155233649565,1652830.99167947
UDA21,0.350527590176504,1790566.91292022
UDA21,0.401311341752292,1928302.82713769
UDA21,0.455487307271906,2066038.74135516
